Employee Name,Department,Band,Base Salary (INR),Performance Bonus (INR),Retention Bonus (INR),Total CTC (INR),Location,Joining Date
Martha Bennett,Sales,L1,411477,60657,22227,494361,Aimeebury,02-05-2025
Christopher Higgins,HR,L3,1405700,178939,95532,1680171,New Amanda,12-05-2025
Tiffany Bradshaw,Operations,L5,3268457,362085,148926,3779468,East Christine,21-05-2025
Julie Rodriguez,Engineering,L5,3773988,298036,263748,4335772,Fernandezberg,12-08-2025
Emily Brown,Operations,L4,2315702,285620,133898,2735220,Smithside,09-07-2025
Samantha Taylor,Engineering,L5,3463331,349130,222375,4034836,Suehaven,06-05-2025
Diane Baker,Engineering,L2,804117,62251,44807,911175,South Shelbytown,16-07-2025
Glen Boyd,Operations,L1,446753,43630,20218,510601,Masseyfort,22-08-2025
Brandon Gray,HR,L1,410063,38017,13409,461489,Popeberg,08-08-2025
Jennifer Mccormick,HR,L1,445552,46885,16251,508688,North Meghan,14-08-2025
Juan Rice,Sales,L5,4104566,371829,231200,4707595,Ramirezport,11-07-2025
Valerie Farmer,Operations,L1,478944,63128,24360,566432,South Mitchellton,05-08-2025
Krista Crane,Finance,L1,426941,30873,21124,478938,Tylershire,06-08-2025
Aaron Herrera,Operations,L1,480664,30484,33506,544654,Loriside,20-06-2025
Jose Myers,Operations,L2,897151,71659,28302,997112,Donnaburgh,05-06-2025
Brandon Long,HR,L1,524876,33892,18635,577403,New Kimberly,06-07-2025
Daniel Young,HR,L3,1365945,141488,78964,1586397,South Carlaport,09-06-2025
Stephanie Schmidt,Sales,L3,1416395,107634,83263,1607292,Thomashaven,17-07-2025
Christopher Hudson,Operations,L4,2437789,354410,77703,2869902,East Lorishire,05-06-2025
Lindsay Swanson,Finance,L1,545863,79742,24680,650285,Christianton,20-08-2025
